"geneDescr"	"clGeneIds"	"aaGenePartitions"	"ntGenePartitions"
"Arabinose operon regulatory protein"	"fig|Bacteroides_1_1_30.peg.1522,fig|Bacteroides_2_1_22.peg.1914,fig|Bacteroides_2_2_4.peg.1768,fig|Bacteroides_3_1_23.peg.2982,fig|Bacteroides_D1.peg.692,fig|Bacteroides_D22.peg.1592,fig|Bacteroides_D2.peg.1265,fig|Bacteroides_ovatus_3_8_47FAA.peg.1636,fig|Bacteroides_ovatus_ATCC_8483.peg.1530,fig|Bacteroides_ovatus_CL03T12C18.peg.1817,fig|Bacteroides_ovatus_SD_CC_2a.peg.1400,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3471,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1400,fig|Bacteroides_xylanisolvens_XB1A.peg.1359,fig|Bovatus_CL02T12C04.peg.1254,fig|Bovatus_NLAE-zl-C11.peg.1163,fig|Bovatus_NLAE-zl-C34.peg.1176,fig|Bovatus_NLAE-zl-H304.peg.1903,fig|Bovatus_NLAE-zl-H361.peg.1618,fig|Bovatus_NLAE-zl-H59.peg.1685,fig|Bovatus_NLAE-zl-H73.peg.1914,fig|Bxylanisolvens_CL03T12C04.peg.1418,fig|Bxylanisolvens_NLAE-zl-C182.peg.1363,fig|Bxylanisolvens_NLAE-zl-C29.peg.1283,fig|Bxylanisolvens_NLAE-zl-C339.peg.1361,fig|Bxylanisolvens_NLAE-zl-G310.peg.1593,fig|Bxylanisolvens_NLAE-zl-G421.peg.1588,fig|Bxylanisolvens_NLAE-zl-H194.peg.1435,fig|Bxylanisolvens_NLAE-zl-P352.peg.1288,fig|Bxylanisolvens_NLAE-zl-P393.peg.1474,fig|Bxylanisolvens_NLAE-zl-P727.peg.1029,fig|Bxylanisolvens_NLAE-zl-P732.peg.1332,fig|Bxylanisolvens_NLAE-zl-P736.peg.1527"	"388868-389134"	"1166602-1167402"
"Inositol-1-monophosphatase"	"fig|Bacteroides_1_1_30.peg.2210,fig|Bacteroides_2_1_22.peg.2351,fig|Bacteroides_2_2_4.peg.1987,fig|Bacteroides_3_1_23.peg.224,fig|Bacteroides_D1.peg.1923,fig|Bacteroides_D22.peg.2145,fig|Bacteroides_D2.peg.2393,fig|Bacteroides_ovatus_3_8_47FAA.peg.2257,fig|Bacteroides_ovatus_ATCC_8483.peg.1827,fig|Bacteroides_ovatus_CL03T12C18.peg.2385,fig|Bacteroides_ovatus_SD_CC_2a.peg.1940,fig|Bacteroides_ovatus_SD_CMC_3f.peg.1259,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1949,fig|Bacteroides_xylanisolvens_XB1A.peg.1879,fig|Bovatus_CL02T12C04.peg.2543,fig|Bovatus_NLAE-zl-C11.peg.1801,fig|Bovatus_NLAE-zl-C34.peg.1686,fig|Bovatus_NLAE-zl-H304.peg.2623,fig|Bovatus_NLAE-zl-H361.peg.2183,fig|Bovatus_NLAE-zl-H59.peg.2667,fig|Bovatus_NLAE-zl-H73.peg.2668,fig|Bxylanisolvens_CL03T12C04.peg.1863,fig|Bxylanisolvens_NLAE-zl-C182.peg.1991,fig|Bxylanisolvens_NLAE-zl-C29.peg.1860,fig|Bxylanisolvens_NLAE-zl-C339.peg.1989,fig|Bxylanisolvens_NLAE-zl-G310.peg.1990,fig|Bxylanisolvens_NLAE-zl-G421.peg.1997,fig|Bxylanisolvens_NLAE-zl-H194.peg.1885,fig|Bxylanisolvens_NLAE-zl-P352.peg.1854,fig|Bxylanisolvens_NLAE-zl-P393.peg.2038,fig|Bxylanisolvens_NLAE-zl-P727.peg.1595,fig|Bxylanisolvens_NLAE-zl-P732.peg.1898,fig|Bxylanisolvens_NLAE-zl-P736.peg.2335"	"389135-389401"	"1167403-1168203"
"Gluconate 5-dehydrogenase"	"fig|Bacteroides_1_1_30.peg.2710,fig|Bacteroides_2_1_22.peg.2756,fig|Bacteroides_2_2_4.peg.2769,fig|Bacteroides_3_1_23.peg.727,fig|Bacteroides_D1.peg.2540,fig|Bacteroides_D22.peg.2613,fig|Bacteroides_D2.peg.2949,fig|Bacteroides_ovatus_3_8_47FAA.peg.2689,fig|Bacteroides_ovatus_ATCC_8483.peg.2281,fig|Bacteroides_ovatus_CL03T12C18.peg.2894,fig|Bacteroides_ovatus_SD_CC_2a.peg.2390,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4182,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2402,fig|Bacteroides_xylanisolvens_XB1A.peg.2314,fig|Bovatus_CL02T12C04.peg.3177,fig|Bovatus_NLAE-zl-C11.peg.2097,fig|Bovatus_NLAE-zl-C34.peg.2183,fig|Bovatus_NLAE-zl-H304.peg.3027,fig|Bovatus_NLAE-zl-H361.peg.2584,fig|Bovatus_NLAE-zl-H59.peg.3366,fig|Bovatus_NLAE-zl-H73.peg.3363,fig|Bxylanisolvens_CL03T12C04.peg.2292,fig|Bxylanisolvens_NLAE-zl-C182.peg.2382,fig|Bxylanisolvens_NLAE-zl-C29.peg.2236,fig|Bxylanisolvens_NLAE-zl-C339.peg.2394,fig|Bxylanisolvens_NLAE-zl-G310.peg.2422,fig|Bxylanisolvens_NLAE-zl-G421.peg.2428,fig|Bxylanisolvens_NLAE-zl-H194.peg.2266,fig|Bxylanisolvens_NLAE-zl-P352.peg.2242,fig|Bxylanisolvens_NLAE-zl-P393.peg.2479,fig|Bxylanisolvens_NLAE-zl-P727.peg.2066,fig|Bxylanisolvens_NLAE-zl-P732.peg.2337,fig|Bxylanisolvens_NLAE-zl-P736.peg.2835"	"389402-389668"	"1168204-1169004"
"tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC"	"fig|Bacteroides_1_1_30.peg.2722,fig|Bacteroides_2_1_22.peg.2767,fig|Bacteroides_2_2_4.peg.2780,fig|Bacteroides_3_1_23.peg.738,fig|Bacteroides_D1.peg.2551,fig|Bacteroides_D22.peg.2625,fig|Bacteroides_D2.peg.2971,fig|Bacteroides_ovatus_3_8_47FAA.peg.2722,fig|Bacteroides_ovatus_ATCC_8483.peg.1422,fig|Bacteroides_ovatus_CL03T12C18.peg.2917,fig|Bacteroides_ovatus_SD_CC_2a.peg.2401,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4192,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2413,fig|Bacteroides_xylanisolvens_XB1A.peg.2325,fig|Bovatus_CL02T12C04.peg.3198,fig|Bovatus_NLAE-zl-C11.peg.2105,fig|Bovatus_NLAE-zl-C34.peg.2191,fig|Bovatus_NLAE-zl-H304.peg.3038,fig|Bovatus_NLAE-zl-H361.peg.2595,fig|Bovatus_NLAE-zl-H59.peg.3389,fig|Bovatus_NLAE-zl-H73.peg.3386,fig|Bxylanisolvens_CL03T12C04.peg.2305,fig|Bxylanisolvens_NLAE-zl-C182.peg.2390,fig|Bxylanisolvens_NLAE-zl-C29.peg.2247,fig|Bxylanisolvens_NLAE-zl-C339.peg.2402,fig|Bxylanisolvens_NLAE-zl-G310.peg.2430,fig|Bxylanisolvens_NLAE-zl-G421.peg.2436,fig|Bxylanisolvens_NLAE-zl-H194.peg.2277,fig|Bxylanisolvens_NLAE-zl-P352.peg.2253,fig|Bxylanisolvens_NLAE-zl-P393.peg.2490,fig|Bxylanisolvens_NLAE-zl-P727.peg.2077,fig|Bxylanisolvens_NLAE-zl-P732.peg.2348,fig|Bxylanisolvens_NLAE-zl-P736.peg.2846"	"389669-389936"	"1169005-1169808"
"Peptidoglycan deacetylase"	"fig|Bacteroides_1_1_30.peg.2916,fig|Bacteroides_2_1_22.peg.2934,fig|Bacteroides_2_2_4.peg.2967,fig|Bacteroides_3_1_23.peg.3584,fig|Bacteroides_D1.peg.2721,fig|Bacteroides_D22.peg.2830,fig|Bacteroides_D2.peg.3172,fig|Bacteroides_ovatus_3_8_47FAA.peg.2912,fig|Bacteroides_ovatus_ATCC_8483.peg.2454,fig|Bacteroides_ovatus_CL03T12C18.peg.3109,fig|Bacteroides_ovatus_SD_CC_2a.peg.2625,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4479,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2638,fig|Bacteroides_xylanisolvens_XB1A.peg.2621,fig|Bovatus_CL02T12C04.peg.3391,fig|Bovatus_NLAE-zl-C11.peg.2298,fig|Bovatus_NLAE-zl-C34.peg.2385,fig|Bovatus_NLAE-zl-H304.peg.3265,fig|Bovatus_NLAE-zl-H361.peg.2818,fig|Bovatus_NLAE-zl-H59.peg.3590,fig|Bovatus_NLAE-zl-H73.peg.3593,fig|Bxylanisolvens_CL03T12C04.peg.2523,fig|Bxylanisolvens_NLAE-zl-C182.peg.2582,fig|Bxylanisolvens_NLAE-zl-C29.peg.2432,fig|Bxylanisolvens_NLAE-zl-C339.peg.2617,fig|Bxylanisolvens_NLAE-zl-G310.peg.2619,fig|Bxylanisolvens_NLAE-zl-G421.peg.2625,fig|Bxylanisolvens_NLAE-zl-H194.peg.2474,fig|Bxylanisolvens_NLAE-zl-P352.peg.2443,fig|Bxylanisolvens_NLAE-zl-P393.peg.2680,fig|Bxylanisolvens_NLAE-zl-P727.peg.2267,fig|Bxylanisolvens_NLAE-zl-P732.peg.2537,fig|Bxylanisolvens_NLAE-zl-P736.peg.3039"	"389937-390203"	"1169809-1170609"
"tRNA pseudouridine synthase A"	"fig|Bacteroides_1_1_30.peg.3611,fig|Bacteroides_2_1_22.peg.3879,fig|Bacteroides_2_2_4.peg.3827,fig|Bacteroides_3_1_23.peg.4496,fig|Bacteroides_D1.peg.3095,fig|Bacteroides_D22.peg.3451,fig|Bacteroides_D2.peg.4026,fig|Bacteroides_ovatus_3_8_47FAA.peg.3730,fig|Bacteroides_ovatus_ATCC_8483.peg.3211,fig|Bacteroides_ovatus_CL03T12C18.peg.4009,fig|Bacteroides_ovatus_SD_CC_2a.peg.3199,fig|Bacteroides_ovatus_SD_CMC_3f.peg.5139,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3447,fig|Bacteroides_xylanisolvens_XB1A.peg.3263,fig|Bovatus_CL02T12C04.peg.4346,fig|Bovatus_NLAE-zl-C11.peg.2915,fig|Bovatus_NLAE-zl-C34.peg.3006,fig|Bovatus_NLAE-zl-H304.peg.4041,fig|Bovatus_NLAE-zl-H361.peg.3538,fig|Bovatus_NLAE-zl-H59.peg.4475,fig|Bovatus_NLAE-zl-H73.peg.4484,fig|Bxylanisolvens_CL03T12C04.peg.3243,fig|Bxylanisolvens_NLAE-zl-C182.peg.3235,fig|Bxylanisolvens_NLAE-zl-C29.peg.2942,fig|Bxylanisolvens_NLAE-zl-C339.peg.3229,fig|Bxylanisolvens_NLAE-zl-G310.peg.3258,fig|Bxylanisolvens_NLAE-zl-G421.peg.3264,fig|Bxylanisolvens_NLAE-zl-H194.peg.2987,fig|Bxylanisolvens_NLAE-zl-P352.peg.3218,fig|Bxylanisolvens_NLAE-zl-P393.peg.3410,fig|Bxylanisolvens_NLAE-zl-P727.peg.2997,fig|Bxylanisolvens_NLAE-zl-P732.peg.3298,fig|Bxylanisolvens_NLAE-zl-P736.peg.3962"	"390204-390487"	"1170610-1171461"
"transcriptional activator FtrB"	"fig|Bacteroides_1_1_30.peg.4588,fig|Bacteroides_2_1_22.peg.4337,fig|Bacteroides_2_2_4.peg.5127,fig|Bacteroides_3_1_23.peg.2219,fig|Bacteroides_D1.peg.4113,fig|Bacteroides_D22.peg.4486,fig|Bacteroides_D2.peg.4824,fig|Bacteroides_ovatus_3_8_47FAA.peg.4660,fig|Bacteroides_ovatus_ATCC_8483.peg.4135,fig|Bacteroides_ovatus_CL03T12C18.peg.5094,fig|Bacteroides_ovatus_SD_CC_2a.peg.4277,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2392,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4579,fig|Bacteroides_xylanisolvens_XB1A.peg.4278,fig|Bovatus_CL02T12C04.peg.5824,fig|Bovatus_NLAE-zl-C11.peg.3667,fig|Bovatus_NLAE-zl-C34.peg.3756,fig|Bovatus_NLAE-zl-H304.peg.4999,fig|Bovatus_NLAE-zl-H361.peg.4435,fig|Bovatus_NLAE-zl-H59.peg.5360,fig|Bovatus_NLAE-zl-H73.peg.5383,fig|Bxylanisolvens_CL03T12C04.peg.4297,fig|Bxylanisolvens_NLAE-zl-C182.peg.4035,fig|Bxylanisolvens_NLAE-zl-C29.peg.3984,fig|Bxylanisolvens_NLAE-zl-C339.peg.4047,fig|Bxylanisolvens_NLAE-zl-G310.peg.4205,fig|Bxylanisolvens_NLAE-zl-G421.peg.4203,fig|Bxylanisolvens_NLAE-zl-H194.peg.3851,fig|Bxylanisolvens_NLAE-zl-P352.peg.4137,fig|Bxylanisolvens_NLAE-zl-P393.peg.1337,fig|Bxylanisolvens_NLAE-zl-P727.peg.3929,fig|Bxylanisolvens_NLAE-zl-P732.peg.4203,fig|Bxylanisolvens_NLAE-zl-P736.peg.4754"	"390488-390767"	"1171462-1172301"
"Putrescine transport system permease protein PotH"	"fig|Bacteroides_1_1_30.peg.12,fig|Bacteroides_2_1_22.peg.952,fig|Bacteroides_2_2_4.peg.12,fig|Bacteroides_3_1_23.peg.12,fig|Bacteroides_D1.peg.12,fig|Bacteroides_D22.peg.12,fig|Bacteroides_D2.peg.12,fig|Bacteroides_ovatus_3_8_47FAA.peg.12,fig|Bacteroides_ovatus_ATCC_8483.peg.12,fig|Bacteroides_ovatus_CL03T12C18.peg.704,fig|Bacteroides_ovatus_SD_CC_2a.peg.12,fig|Bacteroides_ovatus_SD_CMC_3f.peg.12,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.13,fig|Bacteroides_xylanisolvens_XB1A.peg.12,fig|Bovatus_CL02T12C04.peg.1864,fig|Bovatus_NLAE-zl-C11.peg.12,fig|Bovatus_NLAE-zl-C34.peg.12,fig|Bovatus_NLAE-zl-H304.peg.15,fig|Bovatus_NLAE-zl-H361.peg.12,fig|Bovatus_NLAE-zl-H59.peg.12,fig|Bovatus_NLAE-zl-H73.peg.12,fig|Bxylanisolvens_CL03T12C04.peg.12,fig|Bxylanisolvens_NLAE-zl-C182.peg.12,fig|Bxylanisolvens_NLAE-zl-C29.peg.12,fig|Bxylanisolvens_NLAE-zl-C339.peg.12,fig|Bxylanisolvens_NLAE-zl-G310.peg.12,fig|Bxylanisolvens_NLAE-zl-G421.peg.12,fig|Bxylanisolvens_NLAE-zl-H194.peg.12,fig|Bxylanisolvens_NLAE-zl-P352.peg.12,fig|Bxylanisolvens_NLAE-zl-P393.peg.12,fig|Bxylanisolvens_NLAE-zl-P727.peg.12,fig|Bxylanisolvens_NLAE-zl-P732.peg.12,fig|Bxylanisolvens_NLAE-zl-P736.peg.13"	"390768-391033"	"1172302-1173099"
"CAAX amino terminal protease self- immunity"	"fig|Bacteroides_1_1_30.peg.1927,fig|Bacteroides_2_1_22.peg.2090,fig|Bacteroides_2_2_4.peg.5081,fig|Bacteroides_3_1_23.peg.3302,fig|Bacteroides_D1.peg.1638,fig|Bacteroides_D22.peg.1859,fig|Bacteroides_D2.peg.2057,fig|Bacteroides_ovatus_3_8_47FAA.peg.2008,fig|Bacteroides_ovatus_ATCC_8483.peg.1656,fig|Bacteroides_ovatus_CL03T12C18.peg.2107,fig|Bacteroides_ovatus_SD_CC_2a.peg.1678,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3699,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1668,fig|Bacteroides_xylanisolvens_XB1A.peg.1633,fig|Bovatus_CL02T12C04.peg.2160,fig|Bovatus_NLAE-zl-C11.peg.1456,fig|Bovatus_NLAE-zl-C34.peg.1469,fig|Bovatus_NLAE-zl-H304.peg.2207,fig|Bovatus_NLAE-zl-H361.peg.1810,fig|Bovatus_NLAE-zl-H59.peg.2345,fig|Bovatus_NLAE-zl-H73.peg.2346,fig|Bxylanisolvens_CL03T12C04.peg.1497,fig|Bxylanisolvens_NLAE-zl-C182.peg.1734,fig|Bxylanisolvens_NLAE-zl-C29.peg.1588,fig|Bxylanisolvens_NLAE-zl-C339.peg.1732,fig|Bxylanisolvens_NLAE-zl-G310.peg.1752,fig|Bxylanisolvens_NLAE-zl-G421.peg.1759,fig|Bxylanisolvens_NLAE-zl-H194.peg.1613,fig|Bxylanisolvens_NLAE-zl-P352.peg.1552,fig|Bxylanisolvens_NLAE-zl-P393.peg.1737,fig|Bxylanisolvens_NLAE-zl-P727.peg.1292,fig|Bxylanisolvens_NLAE-zl-P732.peg.1595,fig|Bxylanisolvens_NLAE-zl-P736.peg.2007"	"391034-391311"	"1173100-1173933"
"Ribosomal RNA small subunit methyltransferase A"	"fig|Bacteroides_1_1_30.peg.3376,fig|Bacteroides_2_1_22.peg.3636,fig|Bacteroides_2_2_4.peg.3164,fig|Bacteroides_3_1_23.peg.4304,fig|Bacteroides_D1.peg.864,fig|Bacteroides_D22.peg.3251,fig|Bacteroides_D2.peg.3816,fig|Bacteroides_ovatus_3_8_47FAA.peg.3497,fig|Bacteroides_ovatus_ATCC_8483.peg.2995,fig|Bacteroides_ovatus_CL03T12C18.peg.3785,fig|Bacteroides_ovatus_SD_CC_2a.peg.2957,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4814,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3238,fig|Bacteroides_xylanisolvens_XB1A.peg.3065,fig|Bovatus_CL02T12C04.peg.4124,fig|Bovatus_NLAE-zl-C11.peg.2723,fig|Bovatus_NLAE-zl-C34.peg.2814,fig|Bovatus_NLAE-zl-H304.peg.3819,fig|Bovatus_NLAE-zl-H361.peg.3324,fig|Bovatus_NLAE-zl-H59.peg.4212,fig|Bovatus_NLAE-zl-H73.peg.4223,fig|Bxylanisolvens_CL03T12C04.peg.3106,fig|Bxylanisolvens_NLAE-zl-C182.peg.2996,fig|Bxylanisolvens_NLAE-zl-C29.peg.2756,fig|Bxylanisolvens_NLAE-zl-C339.peg.3047,fig|Bxylanisolvens_NLAE-zl-G310.peg.3057,fig|Bxylanisolvens_NLAE-zl-G421.peg.3063,fig|Bxylanisolvens_NLAE-zl-H194.peg.2797,fig|Bxylanisolvens_NLAE-zl-P352.peg.2902,fig|Bxylanisolvens_NLAE-zl-P393.peg.3140,fig|Bxylanisolvens_NLAE-zl-P727.peg.2724,fig|Bxylanisolvens_NLAE-zl-P732.peg.2996,fig|Bxylanisolvens_NLAE-zl-P736.peg.3532"	"391312-391577"	"1173934-1174731"
"2-dehydro-3-deoxyphosphooctonate aldolase"	"fig|Bacteroides_1_1_30.peg.3754,fig|Bacteroides_2_1_22.peg.3928,fig|Bacteroides_2_2_4.peg.3868,fig|Bacteroides_3_1_23.peg.4538,fig|Bacteroides_D1.peg.3146,fig|Bacteroides_D22.peg.3598,fig|Bacteroides_D2.peg.4067,fig|Bacteroides_ovatus_3_8_47FAA.peg.3772,fig|Bacteroides_ovatus_ATCC_8483.peg.3253,fig|Bacteroides_ovatus_CL03T12C18.peg.4052,fig|Bacteroides_ovatus_SD_CC_2a.peg.3346,fig|Bacteroides_ovatus_SD_CMC_3f.peg.1373,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3590,fig|Bacteroides_xylanisolvens_XB1A.peg.3364,fig|Bovatus_CL02T12C04.peg.4388,fig|Bovatus_NLAE-zl-C11.peg.2957,fig|Bovatus_NLAE-zl-C34.peg.3238,fig|Bovatus_NLAE-zl-H304.peg.4148,fig|Bovatus_NLAE-zl-H361.peg.3674,fig|Bovatus_NLAE-zl-H59.peg.4518,fig|Bovatus_NLAE-zl-H73.peg.4527,fig|Bxylanisolvens_CL03T12C04.peg.3294,fig|Bxylanisolvens_NLAE-zl-C182.peg.3284,fig|Bxylanisolvens_NLAE-zl-C29.peg.3043,fig|Bxylanisolvens_NLAE-zl-C339.peg.3278,fig|Bxylanisolvens_NLAE-zl-G310.peg.3308,fig|Bxylanisolvens_NLAE-zl-G421.peg.3314,fig|Bxylanisolvens_NLAE-zl-H194.peg.3037,fig|Bxylanisolvens_NLAE-zl-P352.peg.3259,fig|Bxylanisolvens_NLAE-zl-P393.peg.3451,fig|Bxylanisolvens_NLAE-zl-P727.peg.3038,fig|Bxylanisolvens_NLAE-zl-P732.peg.3339,fig|Bxylanisolvens_NLAE-zl-P736.peg.4007"	"391578-391843"	"1174732-1175529"
"NigD-like protein"	"fig|Bacteroides_1_1_30.peg.3370,fig|Bacteroides_2_1_22.peg.3630,fig|Bacteroides_2_2_4.peg.3637,fig|Bacteroides_3_1_23.peg.4253,fig|Bacteroides_D1.peg.870,fig|Bacteroides_D22.peg.3244,fig|Bacteroides_D2.peg.3810,fig|Bacteroides_ovatus_3_8_47FAA.peg.3492,fig|Bacteroides_ovatus_ATCC_8483.peg.2989,fig|Bacteroides_ovatus_CL03T12C18.peg.3764,fig|Bacteroides_ovatus_SD_CC_2a.peg.2949,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4956,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3232,fig|Bacteroides_xylanisolvens_XB1A.peg.3059,fig|Bovatus_CL02T12C04.peg.4118,fig|Bovatus_NLAE-zl-C11.peg.2717,fig|Bovatus_NLAE-zl-C34.peg.2808,fig|Bovatus_NLAE-zl-H304.peg.3811,fig|Bovatus_NLAE-zl-H361.peg.3318,fig|Bovatus_NLAE-zl-H59.peg.4206,fig|Bovatus_NLAE-zl-H73.peg.4217,fig|Bxylanisolvens_CL03T12C04.peg.3100,fig|Bxylanisolvens_NLAE-zl-C182.peg.2990,fig|Bxylanisolvens_NLAE-zl-C29.peg.2750,fig|Bxylanisolvens_NLAE-zl-C339.peg.3041,fig|Bxylanisolvens_NLAE-zl-G310.peg.3051,fig|Bxylanisolvens_NLAE-zl-G421.peg.3057,fig|Bxylanisolvens_NLAE-zl-H194.peg.2791,fig|Bxylanisolvens_NLAE-zl-P352.peg.2883,fig|Bxylanisolvens_NLAE-zl-P393.peg.3121,fig|Bxylanisolvens_NLAE-zl-P727.peg.2705,fig|Bxylanisolvens_NLAE-zl-P732.peg.2977,fig|Bxylanisolvens_NLAE-zl-P736.peg.3513"	"391844-392109"	"1175530-1176327"
"Plant Basic Secretory Protein"	"fig|Bacteroides_1_1_30.peg.3318,fig|Bacteroides_2_1_22.peg.3582,fig|Bacteroides_2_2_4.peg.3577,fig|Bacteroides_3_1_23.peg.4195,fig|Bacteroides_D1.peg.2244,fig|Bacteroides_D22.peg.3201,fig|Bacteroides_D2.peg.3775,fig|Bacteroides_ovatus_3_8_47FAA.peg.3452,fig|Bacteroides_ovatus_ATCC_8483.peg.2810,fig|Bacteroides_ovatus_CL03T12C18.peg.3712,fig|Bacteroides_ovatus_SD_CC_2a.peg.2898,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4898,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3184,fig|Bacteroides_xylanisolvens_XB1A.peg.3008,fig|Bovatus_CL02T12C04.peg.4059,fig|Bovatus_NLAE-zl-C11.peg.2666,fig|Bovatus_NLAE-zl-C34.peg.2757,fig|Bovatus_NLAE-zl-H304.peg.3757,fig|Bovatus_NLAE-zl-H361.peg.3273,fig|Bovatus_NLAE-zl-H59.peg.4039,fig|Bovatus_NLAE-zl-H73.peg.4050,fig|Bxylanisolvens_CL03T12C04.peg.3049,fig|Bxylanisolvens_NLAE-zl-C182.peg.2943,fig|Bxylanisolvens_NLAE-zl-C29.peg.2705,fig|Bxylanisolvens_NLAE-zl-C339.peg.2995,fig|Bxylanisolvens_NLAE-zl-G310.peg.3004,fig|Bxylanisolvens_NLAE-zl-G421.peg.3010,fig|Bxylanisolvens_NLAE-zl-H194.peg.2748,fig|Bxylanisolvens_NLAE-zl-P352.peg.2837,fig|Bxylanisolvens_NLAE-zl-P393.peg.3076,fig|Bxylanisolvens_NLAE-zl-P727.peg.2660,fig|Bxylanisolvens_NLAE-zl-P732.peg.2931,fig|Bxylanisolvens_NLAE-zl-P736.peg.3462"	"392110-392374"	"1176328-1177122"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.495,fig|Bacteroides_2_1_22.peg.1378,fig|Bacteroides_2_2_4.peg.427,fig|Bacteroides_3_1_23.peg.1181,fig|Bacteroides_D1.peg.375,fig|Bacteroides_D22.peg.724,fig|Bacteroides_D2.peg.741,fig|Bacteroides_ovatus_3_8_47FAA.peg.844,fig|Bacteroides_ovatus_ATCC_8483.peg.172,fig|Bacteroides_ovatus_CL03T12C18.peg.160,fig|Bacteroides_ovatus_SD_CC_2a.peg.493,fig|Bacteroides_ovatus_SD_CMC_3f.peg.686,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.470,fig|Bacteroides_xylanisolvens_XB1A.peg.468,fig|Bovatus_CL02T12C04.peg.1280,fig|Bovatus_NLAE-zl-C11.peg.475,fig|Bovatus_NLAE-zl-C34.peg.476,fig|Bovatus_NLAE-zl-H304.peg.688,fig|Bovatus_NLAE-zl-H361.peg.565,fig|Bovatus_NLAE-zl-H59.peg.447,fig|Bovatus_NLAE-zl-H73.peg.591,fig|Bxylanisolvens_CL03T12C04.peg.311,fig|Bxylanisolvens_NLAE-zl-C182.peg.513,fig|Bxylanisolvens_NLAE-zl-C29.peg.545,fig|Bxylanisolvens_NLAE-zl-C339.peg.513,fig|Bxylanisolvens_NLAE-zl-G310.peg.603,fig|Bxylanisolvens_NLAE-zl-G421.peg.602,fig|Bxylanisolvens_NLAE-zl-H194.peg.546,fig|Bxylanisolvens_NLAE-zl-P352.peg.458,fig|Bxylanisolvens_NLAE-zl-P393.peg.457,fig|Bxylanisolvens_NLAE-zl-P727.peg.427,fig|Bxylanisolvens_NLAE-zl-P732.peg.456,fig|Bxylanisolvens_NLAE-zl-P736.peg.569"	"392375-392638"	"1177123-1177914"
"tRNA (guanine-N(7)-)-methyltransferase"	"fig|Bacteroides_1_1_30.peg.3235,fig|Bacteroides_2_1_22.peg.3520,fig|Bacteroides_2_2_4.peg.3489,fig|Bacteroides_3_1_23.peg.4114,fig|Bacteroides_D1.peg.2306,fig|Bacteroides_D22.peg.3141,fig|Bacteroides_D2.peg.3684,fig|Bacteroides_ovatus_3_8_47FAA.peg.3370,fig|Bacteroides_ovatus_ATCC_8483.peg.2712,fig|Bacteroides_ovatus_CL03T12C18.peg.3617,fig|Bacteroides_ovatus_SD_CC_2a.peg.2834,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4768,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3121,fig|Bacteroides_xylanisolvens_XB1A.peg.2937,fig|Bovatus_CL02T12C04.peg.3959,fig|Bovatus_NLAE-zl-C11.peg.2598,fig|Bovatus_NLAE-zl-C34.peg.2689,fig|Bovatus_NLAE-zl-H304.peg.3669,fig|Bovatus_NLAE-zl-H361.peg.3190,fig|Bovatus_NLAE-zl-H59.peg.3943,fig|Bovatus_NLAE-zl-H73.peg.3954,fig|Bxylanisolvens_CL03T12C04.peg.2972,fig|Bxylanisolvens_NLAE-zl-C182.peg.2882,fig|Bxylanisolvens_NLAE-zl-C29.peg.2645,fig|Bxylanisolvens_NLAE-zl-C339.peg.2934,fig|Bxylanisolvens_NLAE-zl-G310.peg.2943,fig|Bxylanisolvens_NLAE-zl-G421.peg.2949,fig|Bxylanisolvens_NLAE-zl-H194.peg.2687,fig|Bxylanisolvens_NLAE-zl-P352.peg.2752,fig|Bxylanisolvens_NLAE-zl-P393.peg.2991,fig|Bxylanisolvens_NLAE-zl-P727.peg.2575,fig|Bxylanisolvens_NLAE-zl-P732.peg.2846,fig|Bxylanisolvens_NLAE-zl-P736.peg.3371"	"392639-392902"	"1177915-1178706"
